################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   4.9797804672959262E-01   5.2566244490455348E-02   5.8557182806705299E-02
         1          2   0.0000000000000000E+00   4.2202782745988116E-01   4.8725846576272651E-02   4.8782686503305611E-02
         1          3   1.0657616439238998E-03   5.2143079668050585E-01   1.9813235710890373E-01   5.8463845662144617E-02
         1          4   0.0000000000000000E+00   7.8455122487469042E-01   1.1925524652877292E-01   1.0302915267911447E-01
         1          5   0.0000000000000000E+00   7.1897149099253033E-01   1.2132631841330357E-01   9.6289474061819480E-02
         1          6   9.7923163447144225E-03   9.0348472914549938E-01   4.5245240804760500E-01   1.0823405211126989E-01
         1          7   0.0000000000000000E+00   5.8238484655137635E-01   1.2792456188142129E-01   7.7341028000042070E-02
         1          8   0.0000000000000000E+00   5.8381482892734948E-01   1.3706042055286313E-01   7.7426061620623141E-02
         1          9   3.4154396758680899E-02   7.9037290758009526E-01   4.3337234604414970E-01   7.9802164875359766E-02
         1         10   0.0000000000000000E+00   2.4239194778470080E-01   7.0873294925846583E-02   3.3859334684937875E-02
         1         11   0.0000000000000000E+00   2.3395640811991189E-01   7.6661689410454190E-02   3.2782284904053445E-02
         1         12   4.4459657332153388E-02   3.5432149983344646E-01   1.9215730314563539E-01   3.3404662441430769E-02
         1         13   0.0000000000000000E+00   7.3674162320596065E-02   2.0472915552863142E-02   1.0097853908937620E-02
         1         14   0.0000000000000000E+00   7.1076453884966598E-02   2.1928177969580815E-02   9.8457195717701982E-03
         1         15   9.9658745877094380E-03   9.5403209126443608E-02   4.5376788130494852E-02   1.0692534022876747E-02
         1         16   0.0000000000000000E+00   3.4037397904438456E-03   1.2130961345941089E-05   4.7007067513187402E-05
         1         17   0.0000000000000000E+00   1.2656435733637240E-03   1.7889883375853008E-05   4.5463772389105388E-05
         1         18   0.0000000000000000E+00   1.8321911991318750E-03   6.0774040175571791E-05   8.6958059511063330E-05
         1         19   0.0000000000000000E+00   8.8710325939514196E-04   5.6790043955073280E-06   1.9187660564277842E-05
         1         20   0.0000000000000000E+00   9.3366159201071532E-04   3.8528480254526374E-05   5.1110108488597382E-05
