################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.4776318950263130E+01 a         1     0     1     1     1
 -1.0736780582967825E+01 a         2     0     1     1     2
  3.6032129373857899E+01 a         3     0     1     1     3
 -1.2606557861018958E+01 a         4     0     1     1     4
  3.9810800258965322E+01 a         5     0     1     1     5
 -9.3316020701165892E-01 a         6     0     1     1     6
 -4.5840074716138401E+00 a         7     0     1     1     7
 -1.1632958018670971E+01 a         8     0     1     1     8
 -2.4029874026323490E+01 a         9     0     1     1     9
  1.7017360289979699E+01 a        10     0     1     1    10
  1.0650602677246237E+01 a        11     0     1     1    11
 -1.3684255798953444E+01 a        12     0     1     1    12
  8.8492151185151027E+00 a        13     0     1     1    13
 -3.9419212052884642E+00 a        14     0     1     1    14
 -1.0839734785964104E+01 a        15     0     1     1    15
  9.2559834866132107E+00 a        16     0     1     1    16
  2.5225282936493926E+01 a        17     0     1     1    17
 -1.0298894648282403E+01 a        18     0     1     1    18
  1.0090101481622375E+01 a        19     0     1     1    19
  1.8247378346812821E+00 a        20     0     1     1    20
 -2.7373697309551659E+01 a        21     0     2     1     1
 -7.4221474303438386E+00 a        22     0     2     1     2
  2.0056896906457261E+01 a        23     0     2     1     3
 -1.5960951134466418E+01 a        24     0     2     1     4
  4.9420916211662252E+01 a        25     0     2     1     5
 -1.7731510735502807E+00 a        26     0     2     1     6
 -3.8043043458671209E+00 a        27     0     2     1     7
 -1.3769528328619517E+01 a        28     0     2     1     8
 -1.0235626265935416E+01 a        29     0     2     1     9
  4.6899078893999828E+00 a        30     0     2     1    10
  1.4629126217769594E+01 a        31     0     2     1    11
 -1.3465596984774377E+01 a        32     0     2     1    12
  8.5999096510129505E+00 a        33     0     2     1    13
  3.5070518174182969E-02 a        34     0     2     1    14
 -5.4308984247205956E+00 a        35     0     2     1    15
  1.1416760738362630E+01 a        36     0     2     1    16
  1.9331935280408402E+01 a        37     0     2     1    17
  1.1708343331243578E+01 a        38     0     2     1    18
  5.6400382549591948E+00 a        39     0     2     1    19
  7.7601762032350923E+00 a        40     0     2     1    20
 -6.9716086932272843E+00 a        41     0     3     1     1
  1.8723017286763013E+00 a        42     0     3     1     2
  1.7805466975577268E+01 a        43     0     3     1     3
 -8.3938916990732899E+00 a        44     0     3     1     4
  3.0339473850556484E+01 a        45     0     3     1     5
  7.4634518747022147E+00 a        46     0     3     1     6
 -7.4735687983313852E+00 a        47     0     3     1     7
 -1.2060719489471266E+01 a        48     0     3     1     8
 -1.3277572665684799E+01 a        49     0     3     1     9
  1.3967007119793555E+01 a        50     0     3     1    10
  1.3354821789527884E+01 a        51     0     3     1    11
 -1.3026609020356338E+01 a        52     0     3     1    12
  9.0500280742267947E+00 a        53     0     3     1    13
  6.6731928507842744E+00 a        54     0     3     1    14
 -1.8691915927422915E+01 a        55     0     3     1    15
 -8.0980758937471842E-01 a        56     0     3     1    16
  2.0115463356534917E+01 a        57     0     3     1    17
 -8.7587880108023750E+00 a        58     0     3     1    18
  2.1062818502784609E+01 a        59     0     3     1    19
  5.9231513763707397E+00 a        60     0     3     1    20
  2.4627322587523938E+01 a        61     0     4     1     1
  1.7094854673645820E+01 a        62     0     4     1     2
 -8.8404623932790827E+01 a        63     0     4     1     3
  2.3249729167296060E+01 a        64     0     4     1     4
 -7.8517045850415371E+01 a        65     0     4     1     5
 -8.3845323721291436E+00 a        66     0     4     1     6
  1.1871875751276022E+01 a        67     0     4     1     7
  1.2147191529970538E+01 a        68     0     4     1     8
  3.6706072782772779E+01 a        69     0     4     1     9
 -2.0683654755743401E+01 a        70     0     4     1    10
 -2.1719528749372259E+01 a        71     0     4     1    11
  1.4839859138833452E+01 a        72     0     4     1    12
 -3.0345928949906263E+01 a        73     0     4     1    13
 -1.2078103464648709E+01 a        74     0     4     1    14
  1.5643560747458551E+01 a        75     0     4     1    15
 -1.4506291314686887E+01 a        76     0     4     1    16
 -5.9773142041958820E+01 a        77     0     4     1    17
  9.7564504913313819E+00 a        78     0     4     1    18
 -2.0734700192588711E+01 a        79     0     4     1    19
  5.9422594631493961E+00 a        80     0     4     1    20
  3.2378454918414967E+01 a        81     0     5     1     1
 -4.1280755998634282E+00 a        82     0     5     1     2
 -5.7632826703330828E+01 a        83     0     5     1     3
  1.5108426025329294E+01 a        84     0     5     1     4
 -9.1609264915877787E+01 a        85     0     5     1     5
 -7.8726525520016448E+00 a        86     0     5     1     6
  9.1591802270888927E+00 a        87     0     5     1     7
  1.4092377764627871E+01 a        88     0     5     1     8
 -7.4725179911821540E+00 a        89     0     5     1     9
  1.0119639185304329E+01 a        90     0     5     1    10
 -1.5653457765776368E+01 a        91     0     5     1    11
  1.3823357439043310E+01 a        92     0     5     1    12
 -2.6779357771452403E+01 a        93     0     5     1    13
 -1.0105466247405790E+01 a        94     0     5     1    14
  5.9463423384512177E+00 a        95     0     5     1    15
 -1.3604712896804891E+01 a        96     0     5     1    16
 -3.6902383832696934E+01 a        97     0     5     1    17
 -2.5951180161989143E+01 a        98     0     5     1    18
 -1.0847742110673201E+01 a        99     0     5     1    19
 -3.7205290262451371E+00 a       100     0     5     1    20
  1.0463735647074873E+01 a       101     0     6     1     1
  1.8349743417440878E-01 a       102     0     6     1     2
 -5.5785503871371681E+01 a       103     0     6     1     3
  8.0731601422159542E+00 a       104     0     6     1     4
 -5.9894012557956124E+01 a       105     0     6     1     5
 -1.5828539405129401E+01 a       106     0     6     1     6
  1.8339366696124287E+01 a       107     0     6     1     7
  1.0992080657490838E+01 a       108     0     6     1     8
  6.1128945192230981E+00 a       109     0     6     1     9
 -2.7078278689891437E+01 a       110     0     6     1    10
 -2.7376252930413273E+01 a       111     0     6     1    11
  7.3486001768724787E+00 a       112     0     6     1    12
 -3.1681936750762471E+01 a       113     0     6     1    13
 -3.5174848831904427E+01 a       114     0     6     1    14
  3.4786851667038000E+01 a       115     0     6     1    15
  2.0682283982440019E+01 a       116     0     6     1    16
 -4.1333429670295224E+01 a       117     0     6     1    17
  2.4318479454719473E+01 a       118     0     6     1    18
 -5.8828999814377688E+01 a       119     0     6     1    19
  2.8079941643891129E+00 a       120     0     6     1    20
 -1.8363202265085622E+01 a       121     0     7     1     1
 -1.4740051759312904E+00 a       122     0     7     1     2
  8.4771134655484772E+01 a       123     0     7     1     3
 -4.8027584767342297E+01 a       124     0     7     1     4
  6.6129717454091448E+01 a       125     0     7     1     5
  2.7830538655940334E+01 a       126     0     7     1     6
 -1.2880351074296307E+01 a       127     0     7     1     7
 -5.7130703885594150E+00 a       128     0     7     1     8
 -1.4934959960988817E+01 a       129     0     7     1     9
 -9.1576328102757056E+00 a       130     0     7     1    10
  9.4028499776147321E+00 a       131     0     7     1    11
 -7.1838366994939289E+00 a       132     0     7     1    12
  3.1602794375306392E+01 a       133     0     7     1    13
  1.2345811675652996E+01 a       134     0     7     1    14
  4.1436987438166790E+00 a       135     0     7     1    15
  1.1428150957309684E+01 a       136     0     7     1    16
  3.9174806693360544E+01 a       137     0     7     1    17
  1.3362179804648625E-01 a       138     0     7     1    18
 -2.8602686330836626E+01 a       139     0     7     1    19
 -7.0471936997219631E+00 a       140     0     7     1    20
 -2.7877952855424379E+01 a       141     0     8     1     1
  2.9969304583448256E+01 a       142     0     8     1     2
  5.5215174256763426E+01 a       143     0     8     1     3
 -2.7060809374975484E+01 a       144     0     8     1     4
  7.3959785875040851E+01 a       145     0     8     1     5
  2.5010880914856539E+01 a       146     0     8     1     6
 -1.0450247664260626E+01 a       147     0     8     1     7
 -6.7835127084021138E+00 a       148     0     8     1     8
  6.9779788000880993E-01 a       149     0     8     1     9
 -3.9768545258685735E+00 a       150     0     8     1    10
  1.1278777175649792E+00 a       151     0     8     1    11
 -8.0414137160549970E+00 a       152     0     8     1    12
  2.7142693615563534E+01 a       153     0     8     1    13
  9.5421191671305099E+00 a       154     0     8     1    14
  5.9312224617342970E+00 a       155     0     8     1    15
  1.3957566011435349E+01 a       156     0     8     1    16
 -7.0798808974380982E+00 a       157     0     8     1    17
  3.2481585721079185E+01 a       158     0     8     1    18
 -9.1655342635686079E+00 a       159     0     8     1    19
 -3.3465145234150127E+00 a       160     0     8     1    20
  4.7295036283958491E-01 a       161     0     9     1     1
  1.1981669678518609E+01 a       162     0     9     1     2
